Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,35,0.4084,243.0,1090,0.1732,0.804597,"YKL125W YNL248C YPR110C YIR010W YOR210W YOR224C YJL148W YNL113W YPR010C YHR143W-A YOL021C YPR190C YOR340C YOR341W YBR154C YIR024C YOR116C YGR246C YJL011C YDR026C YPR187W YDR045C YDL150W YKR025W YJR063W YKL144C YDL115C YOR207C YNL151C YDL078C YDR156W YDR005C YNR003C YOR202W YER004W"
2,5,0.4000,4.000,428.0,0.009050,0.593027,"YER151C YNL040W YPR158W-B YBL005W-B YBR067C"
3,5,0.4000,4.000,386.0,0.01000,0.593027,"YHR027C YOL022C YLR341W YDR294C YIR036C"
4,5,0.4000,4.000,68.00,0.04878,0.992647,"YIL074C YDL007W YNL311C YKL001C YDL036C"
5,5,0.4000,4.000,330.0,0.01163,0.0593987,"YNL197C YDR249C YPL039W YGL236C YGR243W"
6,5,0.4000,4.000,310.0,0.01235,0.0593987,"YBR160W YGL235W YJR054W YBL013W YIR031C"
7,5,0.4000,4.000,290.0,0.01316,0.129266,"YJL164C YGR235C YLR363C YGL168W YPL123C"
8,5,0.4000,4.000,229.0,0.01646,0.995995,"YBL003C YIL056W YDR083W YDR463W YJL156C"
9,16,0.4083,49.00,568.0,0.07550,0.973270,"YNL031C YBR009C YBR010W YDR440W YNL246W YNL030W YOR064C YNL206C YPR018W YLL002W YOR025W YML102W YLR239C YLR141W YAL044C YFR006W"
10,7,0.4286,9.000,247.0,0.03333,0.939900,"YDL014W YEL026W YGR271C-A YDR117C YLR398C YMR014W YOR381W"
11,121,0.4001,2905,3788,0.4189,3.95184e-08,"YLR448W YNL096C YLR075W YNL110C YNR053C YGL103W YHR203C YNL132W YNL301C YOR096W YDR412W YBL072C YBL027W YHR085W YCR072C YGR034W YGL135W YBR191W YFR031C-A YIL133C YBR048W YJL177W YBR031W YKL180W YDR012W YMR194W YPL131W YBR142W YDR060W YGL076C YNL178W YIL069C YER074W YCR031C YLR340W YGL030W YER102W YHL034C YJL190C YLR029C YLL045C YHR170W YOR204W YDL136W YML063W YNL124W YGL123W YDR064W YCR057C YDR418W YFR032C-A YDR101C YLR367W YML026C YBR181C YPL093W YGL246C YDR130C YJR145C YHL033C YOL127W YDR025W YHR010W YDL082W YJR123W YDR447C YHL001W YKL009W YML073C YAL035W YNL069C YHR197W YMR242C YOL120C YDL075W YGL147C YPL081W YGL014W YGR085C YDR091C YBR189W YIL161W YPL198W YGL031C YPR041W YLR441C YGR285C YMR142C YLR287C-A YOR063W YLR325C YHR141C YEL054C YDR450W YDR471W YPL143W YJL122W YOL040C YIL018W YOR234C YDL083C YLR406C YPL220W YNL302C YLR074C YOR312C YHL015W YGL099W YBL092W YKL067W YPR189W YDR382W YGR118W YPL249C-A YPL090C YJL191W YLR344W YGR245C YGR148C YMR143W TN(GUU)O1"
12,12,0.4091,27.00,548.0,0.04508,0.999753,"YJL005W YPR152C YOL139C YBR194W YMR246W YNL138W YCL030C YGL049C YMR315W YML017W YPR024W YOR227W"
13,5,0.4000,4.000,168.0,0.02198,0.585869,"YNL307C YBL100W-A YGL186C YDR518W YCL057W"
14,5,0.4000,4.000,163.0,0.02260,0.411532,"YDR477W YNL257C YHR189W YIL044C YBR096W"
15,5,0.4000,4.000,167.0,0.02210,0.941238,"YFR028C YDL129W YNL083W YDR056C YMR160W"
16,5,0.4000,4.000,169.0,0.02186,0.977914,"YER133W YHR100C YBR050C YBR045C YOR315W"
17,5,0.4000,4.000,171.0,0.02162,0.995031,"YGL120C YPL283C YOR252W YBR016W YPR047W"
18,5,0.4000,4.000,154.0,0.02381,0.398585,"YER125W YJR051W YPR084W YOR241W YOR385W"
19,7,0.4286,9.000,180.0,0.04433,0.233569,"YFR034C YFL002W-A YDR210W-B YHR115C YMR050C YGR161W-B YDR034C-D"
20,5,0.4000,4.000,155.0,0.02367,0.617203,"YBL007C YBR250W YMR147W YPL027W YJL145W"
21,5,0.4000,4.000,158.0,0.02326,0.980341,"YJL187C YPR139C YBL095W YPL236C YGR153W"
22,96,0.3868,1764,3419,0.3282,0.103137,"YNL110C YNR053C YKL172W YDR412W YPR143W YHR085W YLR009W YNL061W YCR072C YPR016C YOL041C YGL135W YMR290C YFR031C-A YIL133C YLR002C YER006W YIR026C YBR031W YDL031W YFL002C YDR012W YPL131W YBR142W YDR060W YOR206W YGL076C YKR081C YOR294W YGL030W YNL182C YER126C YMR229C YPL211W YNL230C YHR052W YLR029C YLL045C YOR005C YHR170W YGR103W YDL191W YHR066W YKL021C YDR101C YLL008W YPL093W YNL175C YOL127W YHR010W YDL082W YKL009W YBL087C YML073C YMR049C YDL168W YLL034C YDR087C YHR197W YLR449W YCL054W YMR242C YOL120C YDL075W YGL147C YKL014C YPL198W YOR267C YPL043W YER002W YOR063W YLR325C YOL077C YEL054C YJL122W YHR088W YPL220W YLR276C YPR102C YGL029W YNL002C YFR001W YKR024C YLR074C YDR496C YGL099W YLR106C YGL111W YOR272W YKL082C YBR267W YAL025C YPL249C-A YGR245C YGR148C YLR387C"
23,6,0.4000,6.000,155.0,0.03468,0.989000,"YER159C YER148W YGL247W YHR036W YDR397C YOL067C"
24,52,0.4012,532.0,1402,0.2610,0.910987,"YEL002C YKL008C YLR350W YBR159W YGR060W YML012W YML048W YJR010C-A YOR054C YNL125C YNL130C YBR106W YCR034W YMR149W YHR140W YOR016C YBR290W YGL200C YPL274W YBR183W YMR272C YDR331W YJL117W YDL015C YNL101W YGR284C YHR007C YDL212W YMR215W YDR297W YPL076W YBR036C YLR372W YAR002C-A YIL027C YBR110W YKL065C YPL227C YHL048W YHR123W YBR283C YMR058W YEL063C YKL154W YER039C YIL016W YPL264C YML055W YJR117W YJL196C YNL336W YJR124C"
25,6,0.4000,6.000,175.0,0.03109,0.824042,"YOR181W YCR088W YOR367W YKL105C YJL100W YLR081W"
26,5,0.4000,4.000,145.0,0.02516,0.992801,"YLR150W YOL017W YOR051C YPL245W YLR363W-A"
27,39,0.4022,298.0,866.0,0.2399,0.924409,"YML010W YOR210W YOL005C YOR224C YGR116W YNL113W YHR143W-A YIL021W YER022W YPL203W YJL168C YPR133C YPR190C YBR154C YER139C YOR151C YJL140W YGR005C YOR116C YDR404C YGR063C YGL070C YJL011C YPR187W YDR045C YDL150W YGL043W YKR025W YKL144C YDL115C YPL228W YOR207C YPR093C YGR186W YNL151C YBR236C YDR005C YNR003C YOR262W"
28,79,0.3385,1043,1142,0.4452,2.22738e-08,"YHR165C YMR240C YOR308C YER172C YBR055C YDR482C YLR275W YMR125W YDR473C YKL095W YPL151C YNR011C YDR364C YLL036C YFL017W-A YGR091W YML046W YJL203W YDL087C YML049C YIR005W YMR213W YGR013W YPL178W YER013W YPR101W YNL147W YPL213W YPR178W YPR082C YOR159C YHR086W YGR075C YBR152W YKR086W YBL074C YKL173W YBR065C YKL074C YDL030W YMR288W YIL061C YDL098C YAL032C YBR119W YDR235W YDL209C YPR182W YLR117C YER029C YGR074W YDR088C YBR188C YMR268C YLR147C YDR240C YDL043C YLR424W YGR278W YDR163W YGL174W YLR016C YIR009W YOR319W YGR129W YLR298C YDR378C YCR063W YGL128C YPR057W YKR022C YKL012W YJR050W YPR094W YDR416W YNL245C YFR005C YLR323C YPR134W"
29,5,0.4000,4.000,126.0,0.02857,0.783076,"YMR186W YFR048W YOL029C YDL048C YEL070W"
30,5,0.4000,4.000,126.0,0.02857,0.941238,"YGR092W YKL077W YJL213W YNL241C YOR228C"
31,11,0.4000,22.00,226.0,0.08148,0.959599,"YOL112W YER149C YFL039C YIL159W YLR319C YNL271C YOR304C-A YLL021W YOR122C YDL178W YGL015C"
32,5,0.4000,4.000,120.0,0.02985,0.751089,"YGL137W YDR047W YLR260W YNL181W YLR213C"
33,6,0.4000,6.000,135.0,0.03922,0.996370,"YER159C YPL082C YDR397C YPR073C YNL309W YMR019W"
34,5,0.4000,4.000,128.0,0.02817,0.996652,"YNL209W YAR009C YPL212C YBR166C YKL047W"
35,7,0.4286,9.000,185.0,0.04327,0.980535,"YER165W YNR014W YGL094C YKL025C YKL012W YGR178C YIL123W"
36,7,0.4286,9.000,255.0,0.03237,0.878882,"YOR061W YOR294W YLR407W YDL025C YER155C YDL183C YAL049C"
37,5,0.4000,4.000,124.0,0.02899,0.991489,"YGL207W YHR035W YOR101W YOR052C YBR210W"
38,11,0.4000,22.00,355.0,0.05514,0.999730,"YDR224C YBR274W YCR086W YBL002W YDL089W YDR439W YGR067C YJL208C YML034W YMR044W YLR133W"
39,11,0.4000,22.00,376.0,0.05238,0.999515,"YLR197W YOR310C YEL026W YJL010C YPR137W YCR060W YAL051W YOL144W YHR034C YPL193W YJL162C"
40,5,0.4000,4.000,106.0,0.03333,0.779657,"YER012W YLL054C YMR247C YJL132W YLR290C"
41,5,0.4000,4.000,114.0,0.03125,0.971327,"YDR083W YLR347C YDL133C-A YBR176W YML060W"
42,5,0.4000,4.000,106.0,0.03333,0.943154,"YPL141C YOL107W YJR004C YJL087C YJR124C"
43,6,0.4000,6.000,121.0,0.04317,0.985974,"YMR047C YER049W YOR051C YOR289W YDL121C YGL170C"
44,5,0.4000,4.000,104.0,0.03390,0.881248,"YLR423C YJR156C YBR197C YPL159C YOR226C"
45,5,0.4000,4.000,102.0,0.03448,0.748833,"YKL166C YHR168W YLR443W YOR068C YBR298C-A"
46,5,0.4000,4.000,118.0,0.03030,0.994912,"YPL235W YOR125C YDR243C YBR287W YLR183C"
47,5,0.4000,4.000,108.0,0.03279,0.990352,"YMR001C YPL192C YHR015W YDL186W YOR192C-A"
48,6,0.4000,6.000,121.0,0.04317,0.994165,"YER177W YOR220W YLR177W YNL267W YER106W YDR373W"
49,20,0.4105,78.00,521.0,0.1221,0.999646,"YOR281C YDR212W YGL190C YGL116W YJL111W YJL014W YDR142C YJR064W YDR188W YKR036C YHR119W YDL143W YNL212W YOR230W YOR212W YDR183W YJL008C YNL317W YIL142W YDR030C"
50,7,0.4286,9.000,152.0,0.05143,0.999069,"YGR252W YKL193C YPL137C YDL061C YDR436W YFL031W YFR003C"
51,5,0.4000,4.000,31.00,0.08889,0.995150,"YPL216W YLR407W YOR188W YMR067C YGL045W"
52,7,0.4286,9.000,164.0,0.04813,0.993061,"YLR455W YPL129W YBL052C YJR082C YOR064C YLL062C YBR227C"
53,5,0.4000,4.000,104.0,0.03390,0.993983,"YPL004C YNL128W YPL164C YGR169C-A YKR066C"
54,5,0.4000,4.000,90.00,0.03846,0.239240,"YHR114W YOR389W YGR110W YLR081W YPL277C"
55,5,0.4000,4.000,101.0,0.03478,0.985505,"YPL106C YPL183C YNR027W YHR168W YMR066W"
56,5,0.4000,4.000,110.0,0.03226,0.997166,"YDR174W YIL013C YOR172W YNR058W YDR488C"
57,8,0.4286,12.00,184.0,0.05660,0.998452,"YLR249W YLL026W YDR234W YPL048W YLR072W YPR180W YPR062W YGL251C"
58,50,0.3967,486.0,965.0,0.3133,0.104629,"YOR261C YPR103W YER012W YFR052W YFL007W YOL038W YMR314W YER094C YOR157C YIL075C YDR427W YFR010W YER021W YDR363W-A YGL048C YMR191W YDL097C YKL145W YOR362C YOR209C YGL011C YDR394W YPR108W YOR259C YHL030W YJL001W YDL188C YDL007W YDL147W YCR014C YBL041W YGR253C YIR011C YIL007C YLR421C YDL020C YGL004C YGR135W YPL144W YGL141W YKL206C YBR173C YLR199C YBL054W YBR272C YFR050C YGR232W YML092C YLR021W YIR012W"
59,5,0.4000,4.000,103.0,0.03419,0.916031,"YDL055C YNL149C YDR270W YNL259C YGR288W"
60,16,0.4000,48.00,285.0,0.1315,0.992654,"YCR028C-A YDR097C YIR002C YAR007C YCR092C YJL173C YML032C YBR136W YDR499W YDL156W YER104W YMR234W YNL312W YLR226W YLR234W YHR164C"
61,6,0.5333,8.000,76.00,0.08333,0.995447,"YLR455W YBL052C YJR082C YOR064C YLL062C YPR031W"
62,12,0.4091,27.00,195.0,0.1098,0.913560,"YPL209C YLR086W YFR031C YJR089W YBL097W YDL183C YBR156C YMR094W YDR325W YHR199C-A YBL095W YLR272C"
63,5,0.4000,4.000,98.00,0.03571,0.991308,"YGL179C YPL222W YLR030W YPL236C YGR153W"
64,9,0.4167,15.00,182.0,0.06977,0.982192,"YJL115W YER110C YMR127C YPR018W YNL122C YJL208C YDR181C YOR213C YBR007C"
65,23,0.3518,89.00,276.0,0.2165,0.759859,"YDL126C YOL013C YDL190C YML029W YBR170C YKL213C YIL030C YBR201W YDR057W YBR273C YMR297W YLR450W YGR048W YKL020C YDR411C YDR049W YML013W YFL044C YMR022W YLR207W YMR067C YJL048C YDR144C"
66,36,0.6333,399.0,295.0,0.5209,8.64458e-08,"YDR347W YGL129C YOL027C YDR337W YMR188C YGR165W YNL137C YPL118W YDR175C YOR158W YHL004W YDR124W YGR084C YBR251W YPR125W YDL045W-A YNL306W YBR146W YKL155C YDR041W YDR036C YJR113C YMR158W YGR215W YIL093C YNR037C YBL090W YJR101W YPL013C YER050C YKL003C YNL081C YPR166C YDR494W Q0140 YNR036C"
67,57,0.4236,676.0,1346,0.3165,0.111940,"YNL132W YOR078W YGR128C YER082C YLR197W YPL012W YJL109C YCL059C YLR129W YOR310C YBR247C YKR060W YDL148C YDR449C YDR324C YEL055C YMR128W YPL217C YHR196W YJR002W YLL011W YJL010C YCR057C YMR093W YHR148W YIL091C YBL004W YNL075W YIL019W YGR145W YGR090W YPL266W YNR054C YLR222C YPR137W YJL069C YDR398W YER127W YDR299W YML093W YOR145C YPL126W YPR112C YPR144C YGR100W YLR186W YOL010W YGL171W YLR409C YDR339C YKL099C YLR051C YKL078W snR17a snR17b YJL147C YDR236C"
68,5,0.4000,4.000,90.00,0.03846,0.984157,"YHR124W YJL106W YPR117W YER060W YJR094C"
69,5,0.4000,4.000,101.0,0.03478,0.995995,"YDR225W YLR247C YOR125C YDR243C YLR183C"
70,9,0.4167,15.00,187.0,0.06818,0.936854,"YKR093W YKL203C YJR066W YEL040W YOR008C YBR078W YHR092C YDR038C YDR040C"
71,4,0.5000,3.000,20.00,0.09677,0.987210,"YPL212C YOR243C YGL232W YOR356W"
72,7,0.4762,10.00,158.0,0.05495,0.987567,"YGR091W YDR190C YCR060W YHR034C YPL053C YPL193W YJR055W"
73,5,0.4000,4.000,79.00,0.04301,0.295604,"YGL245W TM(CAU)Q1 YAR071W YFR055W TM(CAU)C"
74,5,0.5000,5.000,23.00,0.1316,0.984701,"YOL017W YJL068C YOR173W YPL245W YLR270W"
75,6,0.4667,7.000,118.0,0.05109,0.979571,"YGR086C YNL067W YKL142W YJR156C YLR179C YDR115W"
76,5,0.4000,4.000,82.00,0.04167,0.806453,"YDL213C YGR150C YHL038C Q0105 YFR032C"
77,6,0.4000,6.000,98.00,0.05172,0.996264,"YJR047C YEL034W YLR069C YDR234W YHR068W YKL047W"
78,20,0.4000,76.00,379.0,0.1535,0.997272,"YBR234C YDL029W YKL129C YMR109W YOR035C YNL084C YLR337C YIR006C YNL243W YOR247W YNL020C YKL013C YLR370C YJR065C YNR035C YDR063W YGL242C YIL062C YOR329C YKR069W"
79,5,0.4000,4.000,85.00,0.04040,0.833944,"YBR079C YPR116W YOR052C YLR091W YDR065W"
80,22,0.4069,94.00,755.0,0.1053,1.00000,"YDL055C YGL195W YKL104C YKL211C YML085C YKL029C YIL094C YDR214W YNL313C YLR180W YOR133W YER090W YHR019C YGR234W YFL037W YCL030C YFR009W YLL040C YHL011C YML124C YDR127W YNL148C"
81,6,0.4000,6.000,90.00,0.05556,0.981210,"YJL125C YNL062C YDR047W YOR361C YER030W YDR408C"
82,5,0.4000,4.000,77.00,0.04396,0.941238,"YAR014C YLR108C YMR018W YKR075C YOR062C"
83,12,0.4091,27.00,328.0,0.07124,0.999655,"YDR457W YBR158W YGR285C YLR249W YDR234W YFL013C YHR064C YAR018C YPL048W YBL106C YAL003W YOR081C"
84,13,0.4103,32.00,320.0,0.08466,0.999881,"YOR061W YOR039W YGR082W YOR287C YDR135C YOR119C YGL019W YKL160W YKL112W YMR172W YDR346C YOL026C YGR068C"
85,5,0.4000,4.000,77.00,0.04396,0.943154,"YBR120C YBR017C YDL063C YNL169C YLR426W"
86,8,0.6429,18.00,92.00,0.1429,0.994010,"YKR027W YLR330W YBR023C YNL045W YOR299W YBR180W YMR237W YJL099W"
87,5,0.4000,4.000,90.00,0.03846,0.993697,"YGL112C YOR220W YNL039W YGL087C YMR323W"
88,6,0.4000,6.000,107.0,0.04800,0.878327,"YDR021W YJL138C YJR007W YDR332W YJL107C YLR023C"
89,6,0.4000,6.000,97.00,0.05217,0.932458,"YER018C YDR320C-A YFR042W YPR022C YPL257W YDL073W"
90,5,0.4000,4.000,75.00,0.04494,0.937439,"YLL028W YGR023W YDR034W-B YBR296C YNL237W"
91,6,0.4000,6.000,103.0,0.04959,0.995384,"YIR001C YMR012W YER003C YJL144W YNL234W YMR198W"
92,5,0.4000,4.000,76.00,0.04444,0.912425,"YNR060W YLR026C YDR384C YBR199W YLR250W"
93,5,0.4000,4.000,75.00,0.04494,0.937439,"YCR077C YNR027W YNL063W YGL143C YMR002W"
94,5,0.4000,4.000,76.00,0.04444,0.953803,"YPL042C YLR228C YLR467W YOL092W YLR327C"
95,11,0.4000,22.00,217.0,0.08429,0.984050,"YGL106W YPR188C YAL029C YOR035C YDR457W YOR326W YHR023W YCL063W YKL124W YMR163C YPL040C"
96,5,0.4000,4.000,72.00,0.04651,0.815287,"YDR145W YLR390W YIR021W YOL052C Q0115"
97,5,0.4000,4.000,84.00,0.04082,0.996093,"YLR113W YLR138W YER075C YHL010C YJL093C"
98,5,0.4000,4.000,78.00,0.04348,0.955658,"YEL037C YDR081C YDL080C YBR240C YPL096W"
99,31,0.4538,211.0,604.0,0.2406,0.931514,"YBR245C YOR290C YDR303C YCR020W-B YHR056C YCR052W YKL109W YKR001C YMR033W YIL126W YPR034W YKR008W YLR357W YFR037C YBR289W YJL176C YLR033W YMR091C YGR056W YLR321C YHL025W YNR023W YBL008W YML127W YFL049W YGR275W YPL016W YDR073W YLR176C YBL006C YBL019W"
100,5,0.4000,4.000,72.00,0.04651,0.948129,"YJL057C YKL096W-A YHR087W YDR147W YHR055C"
101,5,0.4000,4.000,68.00,0.04878,0.943154,"YDR247W YNL295W YDL177C YKR049C YER183C"
102,6,0.4000,6.000,96.00,0.05263,0.995257,"YDL219W YFR040W YDL047W YMR145C YBR214W YNL187W"
103,5,0.4000,4.000,71.00,0.04706,0.920058,"YCL028W YKL040C YEL021W YMR074C YNL256W"
104,22,0.4113,95.00,282.0,0.2257,0.820595,"YNL190W YHR060W YLR447C YGR105W YDL185W YPR036W YKL119C YGR020C YBR127C YEL051W YMR054W YOR270C YOR332W YHR039C-A YKL080W YPL201C YLR090W YJR033C YMR027W YCL005W-A YDR202C YGR106C"
105,6,0.4000,6.000,79.00,0.06186,0.957939,"YOR351C YGR287C YIL072W YLR047C YLR263W YMR323W"
106,5,0.4000,4.000,75.00,0.04494,0.991308,"YMR114C YMR216C YGR287C YFL001W YIL082W-A"
107,6,0.4000,6.000,80.00,0.06122,0.932458,"YJL141C YPR184W YPL247C YER170W YML078W YJL206C"
108,6,0.4000,6.000,87.00,0.05714,0.998647,"YJL076W YOR173W YPL245W YLR270W YJR057W YKL001C"
109,6,0.4000,6.000,102.0,0.05000,0.857522,"YHR099W YGL073W YKL062W YOL083W YLR057W YMR289W"
110,5,0.4000,4.000,67.00,0.04938,0.941238,"YKL171W YPL172C YPR203W YIL096C YOL163W"
111,5,0.4000,4.000,13.00,0.1481,0.922102,"YJR067C YNL260C YNL083W YNL008C YMR119W"
112,9,0.4167,15.00,138.0,0.08772,0.994172,"YOR112W YLR293C YPL125W YJR074W YOR185C YKL205W YDL193W YGL238W YGL164C"
113,10,0.4222,19.00,229.0,0.07090,0.997812,"YDL060W YNL207W YOR056C YLR435W YKL143W YPL266W YOR145C YPL239W YBR291C YKR057W"
114,37,0.5450,363.0,277.0,0.5084,1.49227e-06,"YML009C YNL284C YGR220C YPL173W YDR116C YKR006C YML025C YBR122C YOL027C YJL063C YDR405W YNL005C YLR312W-A YPR125W YBR282W YDR237W YCR071C YDR322W YKR085C YCR046C YNL177C YDR462W YKL167C YBL038W YDR296W YGR076C YMR024W YPL183W-A YOR150W YMR193W YNL252C YLR439W YBR185C YPR100W YHR147C YMR225C YNL185C"
115,5,0.4000,4.000,68.00,0.04878,0.904932,"YDL028C YMR114C YHR209W YIL072W YML087C"
116,5,0.4000,4.000,82.00,0.04167,0.997166,"YDR159W YHR127W YJR031C YJL197W YGL050W"
117,10,0.4222,19.00,237.0,0.06884,0.999181,"YDR365C YDR320C-A YGR145W YKL138C-A YHR065C YNR054C YER127W YDR299W YFR042W YMR280C"
118,12,0.3485,23.00,189.0,0.09746,0.959440,"YJL148W YDL208W YGL078C YGR280C YMR269W YHR089C YOR004W YHR072W-A YGR283C YMR310C YOL008W YDR381C-A"
119,5,0.4000,4.000,76.00,0.04444,0.991308,"YPR119W YHR035W YNR022C YLL054C YPL119C"
120,5,0.4000,4.000,39.00,0.07547,0.974174,"YML131W YOL154W YDL215C YPR048W YDR470C"
121,5,0.4000,4.000,17.00,0.1290,0.973413,"YPR121W YMR266W YFL040W YDR316W YFL053W"
122,10,0.4222,19.00,149.0,0.1011,0.973724,"YML016C YOR054C YKL193C YKL088W YKR072C YKR056W YDR436W YFR003C YMR311C YPR005C"
123,6,0.4000,6.000,86.00,0.05769,0.996526,"YGR274C YIL139C YKL201C YOR346W YAL034C YPL167C"
124,6,0.4000,6.000,96.00,0.05263,0.794173,"YIR014W YNL118C YOL149W YGL222C YKL133C YOL151W"
125,6,0.4000,6.000,100.0,0.05085,0.949702,"YML005W YDR172W YBR143C YHR015W YML068W YOL011W"
126,22,0.4156,96.00,176.0,0.3038,0.0416235,"YGL153W YDL065C YKL197C YDR244W YDR142C YGR077C YNL214W YOL147C YLR191W YOL044W YNL329C YDR265W YMR026C YGR239C YGR133W YAL055W YJL210W YHR160C YMR204C YIL160C YPL112C YDR329C"
127,44,0.3901,369.0,558.0,0.3635,0.00515128,"YCR021C YGR055W YPL058C YGR281W YBR052C YLL028W YLR332W YOR153W YGR065C YDR032C YBL042C YDL222C YHR094C YER145C YGL077C YGR121C YLR413W YML072C YOL105C YMR011W YLR326W YDR501W YER020W YPR138C YPL265W YHR001W YAL053W YKL051W YKR003W YLR219W YGL056C YHR096C YDR011W YPR156C YIL121W YHL016C YOR273C YGL108C YBL029C-A YNL283C YDR497C YPL221W YGR138C YBR244W"
128,6,0.4000,6.000,63.00,0.07407,0.500000,"YMR059W YNR008W YLR105C YPL083C YAR008W YIL037C"
129,13,0.4103,32.00,166.0,0.1429,0.962505,"Q0085 YML056C YLR203C YDL107W YGR062C YER154W Q0045 Q0275 YML129C Q0250 YGR112W YOR360C Q0105"
130,5,0.4000,4.000,76.00,0.04444,0.958167,"YLR438C-A YKR099W YFL017C YDL240W YLR281C"
131,6,0.4000,6.000,73.00,0.06593,0.856195,"YLR172C YDR385W YHR024C YLR163C YHR120W YJL046W"
132,10,0.6222,28.00,116.0,0.1707,0.926310,"YBR103W YCR033W YMR273C YIL112W YHR119W YOL068C YOR279C YGL194C YKR029C YEL064C"
133,5,0.4000,4.000,63.00,0.05195,0.833167,"YJL217W YHR152W YKR069W YPR118W YPL257W-B"
134,6,0.4000,6.000,100.0,0.05085,0.998599,"YMR309C YCR060W YOR052C YGL081W YHR034C YLR323C"
135,7,0.4286,9.000,155.0,0.05056,0.955693,"YNL016W YNL161W YDR293C YER033C YCL051W YPL119C YLR286C"
136,7,0.9048,19.00,45.00,0.2436,0.881038,"YEL003W YJL179W YGR078C YML094W YLR212C YNL153C YLR200W"
137,5,0.4000,4.000,58.00,0.05556,0.748833,"YDL101C YDR531W YLR001C YFL030W YHR067W"
138,5,0.4000,4.000,62.00,0.05263,0.903092,"YIR039C YOL113W YMR210W YKL184W YDR191W"
139,6,0.4000,6.000,118.0,0.04412,0.995127,"YNL064C YCL037C YLR256W YNL247W YLR369W YCL057W"
140,11,0.4182,23.00,61.00,0.2170,0.654327,"YIR002C YER038C YOR352W YDR288W YLR007W YEL019C YOL034W YLR383W YCL073C YML023C YDL105W"
141,10,0.4222,19.00,172.0,0.09005,0.999690,"YKL139W YJR070C YOL045W YNR064C YKR018C YML112W YJL006C YMR041C YPL077C YDL103C"
142,5,0.4000,4.000,32.00,0.08696,0.996093,"YOR304C-A YNL314W YIR023W YGR203W YIL119C"
143,6,0.4000,6.000,107.0,0.04800,0.998327,"YOR174W YMR287C YKR067W YGL127C YDR408C YOR349W"
144,6,0.4000,6.000,85.00,0.05825,0.891352,"YLR166C YGR181W YKL195W YGL082W YJL186W YKL084W"
145,5,0.4000,4.000,68.00,0.04878,0.977546,"YCR008W YBR285W YDL177C YGL084C YLR054C"
146,8,0.4286,12.00,100.0,0.09375,0.907826,"YJL005W YLR310C YOR101W YLL016W YNL098C YNL231C YBR140C YMR084W"
147,5,0.4000,4.000,65.00,0.05063,0.985505,"YGL105W YHL009W-B YKL050C YBR296C YGR171C"
148,8,0.4286,12.00,156.0,0.06522,0.999348,"YLR215C YER025W YBR082C YDR092W YNL116W YHR115C YNL311C YOR360C"
149,5,0.4000,4.000,66.00,0.05000,0.934310,"YOL004W YHR178W YNL309W YMR019W YKL072W"
150,8,0.4286,12.00,111.0,0.08633,0.997065,"YFL023W YMR219W YPR169W YDR475C YDR096W YIL045W YER033C YOR289W"
151,6,0.4000,6.000,70.00,0.06818,0.432140,"YPL161C YJR076C YDR218C YLR049C YGL126W YOR084W"
152,5,0.4000,4.000,62.00,0.05263,0.948129,"YGR023W YLR268W YOR037W YOR311C YNL237W"
153,10,0.4000,18.00,166.0,0.08824,0.999583,"YBR221C YAL038W YIL125W YJL101C YGR193C YFR049W YFL018C YDR148C YFR016C YCR079W"
154,6,0.4000,6.000,113.0,0.04580,0.998623,"YCL035C YCL024W YJR097W YKL048C YKL091C YJR062C"
155,5,0.4000,4.000,65.00,0.05063,0.916696,"YCR009C YLL055W YPR062W YLR218C YMR232W"
156,6,0.4667,7.000,78.00,0.07216,0.840887,"YBR044C YDR523C YDL120W YLL041C YKL148C YJR078W"
157,6,0.4000,6.000,77.00,0.06316,0.990845,"YML069W YGR071C YPL128C YKL090W YLR373C YML107C"
158,6,0.4000,6.000,85.00,0.05825,0.979202,"YOL132W YOR320C YOL018C YDR384C YBR199W YJL186W"
159,5,0.4000,4.000,69.00,0.04819,0.995031,"YMR209C YJL098W YGL017W YLR234W YIL042C"
160,5,0.4000,4.000,56.00,0.05714,0.860179,"YGR199W YPL026C YHR139C YGL119W YPL282C"
161,5,0.4000,4.000,86.00,0.04000,0.997166,"YBR198C YER160C YDL230W YAL034C YGR032W"
162,5,0.4000,4.000,53.00,0.05970,0.748833,"YMR304W YDR538W YJR098C YBL044W YMR160W"
163,6,0.4000,6.000,127.0,0.04138,0.998574,"YKL198C YDR176W YEL009C YBL015W YOR023C YOR298C-A"
164,5,0.4000,4.000,60.00,0.05405,0.948129,"YDL033C YLR259C YGL039W YGR046W YPL247C"
165,4,0.5000,3.000,17.00,0.1071,0.987210,"YER048W-A YKL192C YJL180C YIL098C"
166,12,0.4242,28.00,92.00,0.1944,0.747896,"YPL086C YPL101W YBL071W-A YLR384C YGR200C YOR161C YJR127C YHR187W YKL110C YIL096C YMR312W YGL230C"
167,6,0.4000,6.000,72.00,0.06667,0.854883,"YKL075C YHR169W YPR121W YNL091W YNL164C YDL086W"
168,5,0.4000,4.000,71.00,0.04706,0.983176,"YPR030W YGR052W YCR017C YJL105W YNL117W"
